Time,X Position,Y Position,X Error,Y Error
1744157432.1621702,476,129,156,-111,"
"
1744157432.193305,477,125,157,-115,"
"
1744157432.2322736,477,124,157,-116,"
"
1744157432.2616372,480,123,160,-117,"
"
1744157432.295157,480,123,160,-117,"
"
1744157432.3305666,477,125,157,-115,"
"
1744157432.3632584,474,125,154,-115,"
"
1744157432.393851,468,119,148,-121,"
"
1744157432.4300325,464,112,144,-128,"
"
1744157432.462119,463,109,143,-131,"
"
1744157432.494039,463,111,143,-129,"
"
1744157432.5293465,463,112,143,-128,"
"
1744157432.5619886,463,111,143,-129,"
"
1744157432.5933595,463,112,143,-128,"
"
1744157432.6300387,463,112,143,-128,"
"
1744157432.661379,463,112,143,-128,"
"
1744157432.6952066,463,112,143,-128,"
"
1744157432.7297547,463,112,143,-128,"
"
1744157432.7622776,463,112,143,-128,"
"
1744157432.7940707,463,112,143,-128,"
"
1744157432.8300269,463,112,143,-128,"
"
1744157432.8614786,463,112,143,-128,"
"
1744157432.8940618,463,112,143,-128,"
"
1744157432.930332,463,112,143,-128,"
"
1744157432.9620006,463,112,143,-128,"
"
1744157432.993455,463,112,143,-128,"
"
1744157433.0301135,463,112,143,-128,"
"
1744157433.0614548,464,112,144,-128,"
"
1744157433.0941596,464,113,144,-127,"
"
1744157433.130218,464,112,144,-128,"
"
1744157433.1636553,464,113,144,-127,"
"
1744157433.1942573,464,113,144,-127,"
"
1744157433.2301035,464,113,144,-127,"
"
1744157433.2626333,464,113,144,-127,"
"
1744157433.2941728,464,112,144,-128,"
"
1744157433.3294494,464,113,144,-127,"
"
1744157433.3621361,464,113,144,-127,"
"
1744157433.3939288,464,112,144,-128,"
"
1744157433.4301844,464,112,144,-128,"
"
1744157433.4615505,464,113,144,-127,"
"
1744157433.4942198,464,112,144,-128,"
"
1744157433.5306995,464,113,144,-127,"
"
1744157433.5622041,464,112,144,-128,"
"
1744157433.5935524,464,112,144,-128,"
"
1744157433.631006,464,113,144,-127,"
"
1744157433.661855,464,112,144,-128,"
"
1744157433.6950293,464,113,144,-127,"
"
1744157433.7295291,464,113,144,-127,"
"
1744157433.7621522,464,113,144,-127,"
"
1744157433.7935371,464,113,144,-127,"
"
1744157433.8301897,464,112,144,-128,"
"
1744157433.8614714,463,113,143,-127,"
"
1744157433.8942459,463,113,143,-127,"
"
1744157433.9295793,463,113,143,-127,"
"
1744157433.9638846,464,113,144,-127,"
"
1744157433.9936554,464,113,144,-127,"
"
1744157434.0317953,464,113,144,-127,"
"
1744157434.061952,464,113,144,-127,"
"
1744157434.0946636,464,113,144,-127,"
"
1744157434.1296766,464,113,144,-127,"
"
1744157434.1623101,463,113,143,-127,"
"
1744157434.1936302,463,113,143,-127,"
"
1744157434.2303424,463,113,143,-127,"
"
1744157434.2615883,463,113,143,-127,"
"
1744157434.294298,463,113,143,-127,"
"
1744157434.3296387,463,113,143,-127,"
"
1744157434.3622668,463,113,143,-127,"
"
1744157434.3936713,463,113,143,-127,"
"
1744157434.4312253,463,113,143,-127,"
"
1744157434.461653,463,113,143,-127,"
"
1744157434.4943929,463,113,143,-127,"
"
1744157434.5302799,463,113,143,-127,"
"
1744157434.563184,463,113,143,-127,"
"
1744157434.5943043,463,113,143,-127,"
"
1744157434.630329,463,113,143,-127,"
"
1744157434.661696,463,113,143,-127,"
"
1744157434.6943872,463,113,143,-127,"
"
1744157434.7296917,463,113,143,-127,"
"
1744157434.7623222,464,113,144,-127,"
"
1744157434.7937152,464,113,144,-127,"
"
1744157434.8304381,464,113,144,-127,"
"
1744157434.8617113,464,113,144,-127,"
"
1744157434.8944528,464,113,144,-127,"
"
1744157434.9297657,464,113,144,-127,"
"
1744157434.9623544,464,113,144,-127,"
"
1744157434.9937882,464,113,144,-127,"
"
1744157435.031764,464,113,144,-127,"
"
1744157435.0627723,464,114,144,-126,"
"
1744157435.0952327,464,113,144,-127,"
"
1744157435.1307483,465,114,145,-126,"
"
1744157435.1624036,464,113,144,-127,"
"
1744157435.1937392,464,113,144,-127,"
"
1744157435.23052,464,113,144,-127,"
"
1744157435.2629273,464,113,144,-127,"
"
1744157435.2944834,465,114,145,-126,"
"
1744157435.3307216,464,113,144,-127,"
"
1744157435.3636925,464,113,144,-127,"
"
1744157435.3938172,464,113,144,-127,"
"
1744157435.4305053,464,113,144,-127,"
"
1744157435.461784,464,113,144,-127,"
"
1744157435.4944909,464,113,144,-127,"
"
1744157435.5355566,464,113,144,-127,"
"
1744157435.5630078,464,113,144,-127,"
"
1744157435.5953,464,113,144,-127,"
"
1744157435.6304584,463,113,143,-127,"
"
1744157435.6617615,464,113,144,-127,"
"
1744157435.6945705,464,113,144,-127,"
"
1744157435.7298534,463,113,143,-127,"
"
1744157435.762451,464,113,144,-127,"
"
1744157435.79384,464,113,144,-127,"
"
1744157435.8305142,464,113,144,-127,"
"
1744157435.8617997,464,113,144,-127,"
"
1744157435.8945434,463,113,143,-127,"
"
1744157435.9307435,464,113,144,-127,"
"
1744157435.962614,463,113,143,-127,"
"
1744157435.9949727,463,113,143,-127,"
"
1744157436.030523,464,113,144,-127,"
"
1744157436.0618348,464,113,144,-127,"
"
1744157436.0953295,464,113,144,-127,"
"
1744157436.1300275,463,113,143,-127,"
"
1744157436.1625805,463,113,143,-127,"
"
1744157436.1939175,463,113,143,-127,"
"
1744157436.230618,463,113,143,-127,"
"
1744157436.2627358,463,113,143,-127,"
"
1744157436.2945936,463,113,143,-127,"
"
1744157436.330525,463,113,143,-127,"
"
1744157436.3632371,464,113,144,-127,"
"
1744157436.3942964,463,113,143,-127,"
"
1744157436.4305594,463,113,143,-127,"
"
1744157436.4618688,464,113,144,-127,"
"
1744157436.494577,463,113,143,-127,"
"
1744157436.529932,463,113,143,-127,"
"
1744157436.5625737,463,113,143,-127,"
"
1744157436.5940554,463,113,143,-127,"
"
1744157436.6308322,463,113,143,-127,"
"
1744157436.6627548,463,113,143,-127,"
"
1744157436.6946628,463,113,143,-127,"
"
1744157436.73104,463,113,143,-127,"
"
1744157436.7631707,463,113,143,-127,"
"
1744157436.7941601,463,113,143,-127,"
"
1744157436.8306084,463,113,143,-127,"
"
1744157436.8619058,463,113,143,-127,"
"
1744157436.8958976,463,113,143,-127,"
"
1744157436.9300551,463,113,143,-127,"
"
1744157436.962604,463,113,143,-127,"
"
1744157436.9940128,463,113,143,-127,"
"
1744157437.0307512,463,113,143,-127,"
"
1744157437.0619745,463,113,143,-127,"
"
1744157437.0947008,463,113,143,-127,"
"
1744157437.1300275,463,113,143,-127,"
"
1744157437.163894,463,113,143,-127,"
"
1744157437.1942513,463,113,143,-127,"
"
1744157437.2311416,463,113,143,-127,"
"
1744157437.2620378,463,113,143,-127,"
"
1744157437.2947605,463,113,143,-127,"
"
1744157437.3300045,463,113,143,-127,"
"
1744157437.363515,463,113,143,-127,"
"
1744157437.3941553,463,113,143,-127,"
"
1744157437.4309826,463,113,143,-127,"
"
1744157437.4630485,463,113,143,-127,"
"
1744157437.4953203,463,113,143,-127,"
"
1744157437.530111,463,113,143,-127,"
"
1744157437.562765,463,113,143,-127,"
"
1744157437.5941734,463,113,143,-127,"
"
1744157437.6316235,463,113,143,-127,"
"
1744157437.6632597,463,113,143,-127,"
"
1744157437.6954577,463,113,143,-127,"
"
1744157437.7315817,463,113,143,-127,"
"
1744157437.7627597,463,113,143,-127,"
"
1744157437.794163,463,113,143,-127,"
"
1744157437.8317873,464,114,144,-126,"
"
1744157437.8621194,463,114,143,-126,"
"
1744157437.8948169,463,114,143,-126,"
"
1744157437.930141,462,115,142,-125,"
"
1744157437.9628544,463,113,143,-127,"
"
1744157437.9942012,462,114,142,-126,"
"
1744157438.03108,462,115,142,-125,"
"
1744157438.062147,463,114,143,-126,"
"
1744157438.0960042,463,114,143,-126,"
"
1744157438.1305797,463,114,143,-126,"
"
1744157438.163462,463,114,143,-126,"
"
1744157438.1941624,463,114,143,-126,"
"
1744157438.2309701,463,114,143,-126,"
"
1744157438.2621467,463,114,143,-126,"
"
1744157438.29568,464,114,144,-126,"
"
1744157438.3301802,463,114,143,-126,"
"
1744157438.3628097,463,114,143,-126,"
"
1744157438.394246,463,114,143,-126,"
"
1744157438.4310293,462,115,142,-125,"
"
1744157438.4622273,463,115,143,-125,"
"
1744157438.494996,463,114,143,-126,"
"
1744157438.5306516,462,115,142,-125,"
"
1744157438.5637443,462,115,142,-125,"
"
1744157438.5946484,462,114,142,-126,"
"
1744157438.6309798,463,114,143,-126,"
"
1744157438.6622264,462,115,142,-125,"
"
1744157438.6949813,463,114,143,-126,"
"
1744157438.7303789,463,114,143,-126,"
"
1744157438.7629297,463,114,143,-126,"
"
1744157438.795498,463,114,143,-126,"
"
1744157438.8310072,463,114,143,-126,"
"
1744157438.8622398,463,114,143,-126,"
"
1744157438.8950608,462,114,142,-126,"
"
1744157438.9273448,463,114,143,-126,"
"
1744157438.9629881,461,116,141,-124,"
"
1744157438.9943054,462,116,142,-124,"
"
1744157439.0271444,459,117,139,-123,"
"
1744157439.0627267,461,116,141,-124,"
"
1744157439.0958815,461,117,141,-123,"
"
1744157439.1272264,461,117,141,-123,"
"
1744157439.1630187,463,116,143,-124,"
"
1744157439.1942658,461,116,141,-124,"
"
1744157439.2271092,461,116,141,-124,"
"
1744157439.2623336,462,116,142,-124,"
"
1744157439.2950907,461,116,141,-124,"
"
1744157439.3263986,461,116,141,-124,"
"
1744157439.3630543,462,116,142,-124,"
"
1744157439.3943906,461,116,141,-124,"
"
1744157439.427138,461,116,141,-124,"
"
1744157439.4623787,461,116,141,-124,"
"
1744157439.4953454,461,116,141,-124,"
"
1744157439.5266294,461,116,141,-124,"
"
1744157439.563486,461,116,141,-124,"
"
1744157439.594422,462,116,142,-124,"
"
1744157439.6273956,461,116,141,-124,"
"
1744157439.6623366,460,117,140,-123,"
"
1744157439.6950884,460,117,140,-123,"
"
1744157439.726452,460,116,140,-124,"
"
1744157439.7632146,461,116,141,-124,"
"
1744157439.795306,460,117,140,-123,"
"
1744157439.8271565,460,117,140,-123,"
"
1744157439.8633444,460,117,140,-123,"
"
1744157439.895187,461,117,141,-123,"
"
1744157439.9265177,460,117,140,-123,"
"
1744157439.963482,461,117,141,-123,"
"
1744157439.9950535,461,117,141,-123,"
"
1744157440.027533,460,118,140,-122,"
"
1744157440.0624454,460,119,140,-121,"
"
1744157440.0951202,459,119,139,-121,"
"
1744157440.126445,458,121,138,-119,"
"
1744157440.1631901,458,122,138,-118,"
"
1744157440.194466,458,121,138,-119,"
"
1744157440.2272928,459,119,139,-121,"
"
1744157440.2625618,459,119,139,-121,"
"
1744157440.2952113,459,120,139,-120,"
"
1744157440.3265302,458,120,138,-120,"
"
1744157440.3636162,458,120,138,-120,"
"
1744157440.3950047,458,120,138,-120,"
"
1744157440.4278162,459,120,139,-120,"
"
1744157440.462537,458,120,138,-120,"
"
1744157440.4952369,458,120,138,-120,"
"
1744157440.5274525,458,120,138,-120,"
"
1744157440.5633192,459,120,139,-120,"
"
1744157440.5945807,458,121,138,-119,"
"
1744157440.6274793,457,122,137,-118,"
"
1744157440.6635134,457,122,137,-118,"
"
1744157440.6953466,457,123,137,-117,"
"
1744157440.726633,457,123,137,-117,"
"
1744157440.7641513,457,122,137,-118,"
"
1744157440.794955,458,121,138,-119,"
"
1744157440.8283584,458,122,138,-118,"
"
1744157440.8625784,458,122,138,-118,"
"
1744157440.8952656,458,122,138,-118,"
"
1744157440.926586,457,122,137,-118,"
"
1744157440.9634762,457,122,137,-118,"
"
1744157440.9945889,458,122,138,-118,"
"
1744157441.0282035,458,122,138,-118,"
"
1744157441.0626707,458,122,138,-118,"
"
1744157441.095653,457,122,137,-118,"
"
1744157441.1275566,457,123,137,-117,"
"
1744157441.1633701,457,123,137,-117,"
"
1744157441.1946592,457,123,137,-117,"
"
1744157441.227396,456,124,136,-116,"
"
1744157441.2627509,456,124,136,-116,"
"
1744157441.2970324,456,124,136,-116,"
"
1744157441.3268518,456,123,136,-117,"
"
1744157441.3634195,457,123,137,-117,"
"
1744157441.394704,456,123,136,-117,"
"
1744157441.4281816,456,123,136,-117,"
"
1744157441.4626808,456,124,136,-116,"
"
1744157441.4953768,457,123,137,-117,"
"
1744157441.5267692,456,124,136,-116,"
"
1744157441.563435,456,123,136,-117,"
"
1744157441.5946386,456,124,136,-116,"
"
1744157441.6274846,456,124,136,-116,"
"
1744157441.6627345,456,124,136,-116,"
"
1744157441.695871,455,125,135,-115,"
"
1744157441.7270954,455,125,135,-115,"
"
1744157441.7640343,455,124,135,-116,"
"
1744157441.7947028,456,124,136,-116,"
"
1744157441.827526,455,124,135,-116,"
"
1744157441.8626945,455,124,135,-116,"
"
1744157441.8954084,455,124,135,-116,"
"
1744157441.9268107,455,125,135,-115,"
"
1744157441.9645596,455,124,135,-116,"
"
1744157441.9947238,455,124,135,-116,"
"
1744157442.0276637,455,124,135,-116,"
"
1744157442.0627708,455,125,135,-115,"
"
1744157442.0963585,455,125,135,-115,"
"
1744157442.1268167,454,126,134,-114,"
"
1744157442.1648018,453,126,133,-114,"
"
1744157442.1950433,455,124,135,-116,"
"
1744157442.228019,457,124,137,-116,"
"
1744157442.2627614,456,123,136,-117,"
"
1744157442.2954433,455,125,135,-115,"
"
1744157442.3268137,455,125,135,-115,"
"
1744157442.36354,455,126,135,-114,"
"
1744157442.3947828,455,126,135,-114,"
"
1744157442.4275794,455,126,135,-114,"
"
1744157442.4628468,454,126,134,-114,"
"
1744157442.495767,454,126,134,-114,"
"
1744157442.526995,455,126,135,-114,"
"
1744157442.5641367,455,127,135,-113,"
"
1744157442.595218,455,127,135,-113,"
"
1744157442.6294258,455,127,135,-113,"
"
1744157442.662821,455,127,135,-113,"
"
1744157442.6954753,454,127,134,-113,"
"
1744157442.726834,455,128,135,-112,"
"
1744157442.7635388,455,128,135,-112,"
"
1744157442.794947,454,128,134,-112,"
"
1744157442.8276074,455,128,135,-112,"
"
1744157442.863721,455,128,135,-112,"
"
1744157442.8956087,455,128,135,-112,"
"
1744157442.9269292,455,128,135,-112,"
"
1744157442.9643075,455,128,135,-112,"
"
1744157442.9953346,455,128,135,-112,"
"
1744157443.027915,455,128,135,-112,"
"
1744157443.0629218,455,128,135,-112,"
"
1744157443.0955591,455,128,135,-112,"
"
1744157443.1269276,454,130,134,-110,"
"
1744157443.163641,455,129,135,-111,"
"
1744157443.1949031,454,129,134,-111,"
"
1744157443.2276552,453,130,133,-110,"
"
1744157443.263011,453,131,133,-109,"
"
1744157443.2956145,453,132,133,-108,"
"
1744157443.3271482,454,131,134,-109,"
"
1744157443.3637166,455,130,135,-110,"
"
1744157443.3949873,454,130,134,-110,"
"
1744157443.427797,454,131,134,-109,"
"
1744157443.4642432,453,131,133,-109,"
"
1744157443.497429,453,131,133,-109,"
"
1744157443.5273669,453,131,133,-109,"
"
1744157443.563695,455,131,135,-109,"
"
1744157443.5949645,454,130,134,-110,"
"
1744157443.6283178,453,131,133,-109,"
"
1744157443.6637878,451,132,131,-108,"
"
1744157443.695712,450,132,130,-108,"
"
1744157443.7270503,455,130,135,-110,"
"
1744157443.7637513,454,135,134,-105,"
"
1744157443.7950585,451,138,131,-102,"
"
1744157443.8278706,452,134,132,-106,"
"
1744157443.8635514,452,137,132,-103,"
"
1744157443.8961613,450,139,130,-101,"
"
1744157443.927864,450,139,130,-101,"
"
1744157443.963903,451,137,131,-103,"
"
1744157443.9949987,452,135,132,-105,"
"
1744157444.0279052,452,136,132,-104,"
"
1744157444.0631971,451,135,131,-105,"
"
1744157444.0957563,451,136,131,-104,"
"
1744157444.1271305,450,138,130,-102,"
"
1744157444.163816,451,136,131,-104,"
"
1744157444.195188,450,136,130,-104,"
"
1744157444.2278519,451,134,131,-106,"
"
1744157444.264888,451,133,131,-107,"
"
1744157444.2962677,450,135,130,-105,"
"
1744157444.327873,450,136,130,-104,"
"
1744157444.3637884,450,136,130,-104,"
"
1744157444.3950844,450,138,130,-102,"
"
1744157444.427845,451,136,131,-104,"
"
1744157444.4637313,450,136,130,-104,"
"
1744157444.4958143,450,137,130,-103,"
"
1744157444.5271602,450,137,130,-103,"
"
1744157444.5638983,449,139,129,-101,"
"
1744157444.5952778,449,139,129,-101,"
"
1744157444.6278858,447,142,127,-98,"
"
1744157444.6636803,448,141,128,-99,"
"
1744157444.697237,448,142,128,-98,"
"
1744157444.7275045,448,143,128,-97,"
"
1744157444.7638545,445,142,125,-98,"
"
1744157444.795249,444,142,124,-98,"
"
1744157444.8278735,439,151,119,-89,"
"
1744157444.8632693,439,153,119,-87,"
"
1744157444.895853,441,151,121,-89,"
"
1744157444.9272366,442,149,122,-91,"
"
1744157444.9641645,440,153,120,-87,"
"
1744157444.9952404,441,149,121,-91,"
"
1744157445.0279677,442,149,122,-91,"
"
1744157445.0636961,441,150,121,-90,"
"
1744157445.09662,439,154,119,-86,"
"
1744157445.1275747,439,153,119,-87,"
"
1744157445.164121,439,154,119,-86,"
"
1744157445.1963282,438,156,118,-84,"
"
1744157445.227896,436,158,116,-82,"
"
1744157445.2632751,435,159,115,-81,"
"
1744157445.2958694,435,160,115,-80,"
"
1744157445.3272681,432,162,112,-78,"
"
1744157445.364106,429,166,109,-74,"
"
1744157445.3952982,426,169,106,-71,"
"
1744157445.4279716,421,174,101,-66,"
"
1744157445.4634242,417,178,97,-62,"
"
1744157445.4963539,413,182,93,-58,"
"
1744157445.52772,406,188,86,-52,"
"
1744157445.5639026,400,192,80,-48,"
"
1744157445.5952606,395,198,75,-42,"
"
1744157445.627951,387,205,67,-35,"
"
1744157445.6644337,380,212,60,-28,"
"
1744157445.6962035,374,219,54,-21,"
"
1744157445.727347,366,226,46,-14,"
"
1744157445.7640576,357,233,37,-7,"
"
1744157445.7961993,348,240,28,0,"
"
1744157445.8280594,340,245,20,5,"
"
1744157445.8633971,332,249,12,9,"
"
1744157445.896061,326,251,6,11,"
"
1744157445.9275894,321,252,1,12,"
"
1744157445.964735,319,252,-1,12,"
"
1744157445.9953876,320,252,0,12,"
"
1744157446.0280375,322,251,2,11,"
"
1744157446.0633702,323,251,3,11,"
"
1744157446.096036,324,251,4,11,"
"
1744157446.1274104,323,251,3,11,"
"
1744157446.164053,323,251,3,11,"
"
1744157446.195437,322,251,2,11,"
"
1744157446.228116,322,251,2,11,"
"
1744157446.2634356,323,251,3,11,"
"
1744157446.296091,323,251,3,11,"
"
1744157446.3274794,323,251,3,11,"
"
1744157446.3647654,323,251,3,11,"
"
1744157446.395722,323,251,3,11,"
"
1744157446.4285996,323,251,3,11,"
"
1744157446.4633996,323,251,3,11,"
"
1744157446.496056,323,251,3,11,"
"
1744157446.5274408,323,251,3,11,"
"
1744157446.5641165,323,251,3,11,"
"
1744157446.5958357,323,251,3,11,"
"
1744157446.628138,322,251,2,11,"
"
1744157446.6634893,322,251,2,11,"
"
1744157446.6973913,323,251,3,11,"
"
1744157446.7275097,322,251,2,11,"
"
1744157446.7646263,322,251,2,11,"
"
1744157446.7958684,322,251,2,11,"
"
1744157446.828908,323,251,3,11,"
"
1744157446.8634582,323,251,3,11,"
"
1744157446.8961327,323,251,3,11,"
"
1744157446.9275174,323,251,3,11,"
"
1744157446.964181,322,251,2,11,"
"
1744157446.9955027,323,251,3,11,"
"
1744157447.0281959,322,251,2,11,"
"
1744157447.0635784,322,251,2,11,"
"
1744157447.096537,323,251,3,11,"
"
1744157447.1276212,323,251,3,11,"
"
1744157447.1642509,323,251,3,11,"
"
1744157447.195604,323,251,3,11,"
"
1744157447.2287025,322,251,2,11,"
"
1744157447.264024,322,251,2,11,"
"
1744157447.2972002,322,251,2,11,"
"
1744157447.3275995,323,251,3,11,"
"
1744157447.364209,322,251,2,11,"
"
1744157447.3955376,322,251,2,11,"
"
1744157447.428226,322,251,2,11,"
"
1744157447.4636745,323,251,3,11,"
"
1744157447.496184,322,251,2,11,"
"
1744157447.5283868,323,251,3,11,"
"
1744157447.5642579,322,251,2,11,"
"
1744157447.5956523,322,251,2,11,"
"
1744157447.6285741,322,251,2,11,"
"
1744157447.6640239,323,251,3,11,"
"
1744157447.6969223,322,251,2,11,"
"
1744157447.7276564,322,251,2,11,"
"
1744157447.7642653,322,251,2,11,"
"
1744157447.795583,322,251,2,11,"
"
1744157447.8283398,322,251,2,11,"
"
1744157447.8636942,322,251,2,11,"
"
1744157447.8963032,322,251,2,11,"
"
1744157447.9276972,322,251,2,11,"
"
1744157447.9644132,322,251,2,11,"
"
1744157447.9957156,322,251,2,11,"
"
1744157448.0283582,323,251,3,11,"
"
1744157448.0642662,323,251,3,11,"
"
1744157448.097007,323,251,3,11,"
"
1744157448.128548,323,251,3,11,"
"
1744157448.1613824,322,251,2,11,"
"
1744157448.1956246,323,251,3,11,"
"
1744157448.22838,323,251,3,11,"
"
1744157448.2597842,323,251,3,11,"
"
1744157448.2963066,323,251,3,11,"
"
1744157448.327682,323,251,3,11,"
"
1744157448.3604212,323,251,3,11,"
"
1744157448.395697,323,251,3,11,"
"
1744157448.4283674,323,251,3,11,"
"
1744157448.459831,323,251,3,11,"
"
1744157448.4963849,323,251,3,11,"
"
1744157448.5277643,323,251,3,11,"
"
1744157448.5605202,323,251,3,11,"
"
1744157448.5961444,323,251,3,11,"
"
1744157448.6286983,323,251,3,11,"
"
1744157448.6605504,323,251,3,11,"
"
1744157448.6964915,323,251,3,11,"
"
1744157448.727737,325,253,5,13,"
"
1744157450.196016,327,248,7,8,"
"
1744157450.228693,327,248,7,8,"
"
1744157450.2609909,325,247,5,7,"
"
1744157450.2968955,320,257,0,17,"
"
1744157450.328395,326,250,6,10,"
"
1744157450.3613627,326,250,6,10,"
"
1744157450.3960252,327,249,7,9,"
"
1744157450.4286456,329,251,9,11,"
"
1744157450.4600248,326,251,6,11,"
"
1744157450.497534,326,249,6,9,"
"
1744157450.5279882,326,251,6,11,"
"
1744157450.560725,325,249,5,9,"
"
1744157450.630072,326,251,6,11,"
"
1744157450.660321,327,252,7,12,"
"
1744157450.7280984,326,252,6,12,"
"
1744157450.7607987,326,252,6,12,"
"
1744157450.828762,326,253,6,13,"
"
1744157450.8601165,327,252,7,12,"
"
1744157450.8975496,327,251,7,11,"
"
1744157450.9280543,326,253,6,13,"
"
1744157450.9610114,323,249,3,9,"
"
1744157450.9960983,326,251,6,11,"
"
1744157451.0286856,327,250,7,10,"
"
1744157451.0969908,326,248,6,8,"
"
1744157451.128103,326,251,6,11,"
"
1744157451.1608331,322,249,2,9,"
"
1744157451.196579,326,248,6,8,"
"
1744157451.2305276,323,250,3,10,"
"
1744157451.2605693,327,250,7,10,"
"
1744157451.2968118,325,249,5,9,"
"
1744157451.32813,327,251,7,11,"
"
1744157451.360838,321,250,1,10,"
"
1744157451.3961298,323,250,3,10,"
"
1744157451.428827,324,249,4,9,"
"
1744157451.4602492,324,250,4,10,"
"
1744157451.4968283,324,250,4,10,"
"
1744157451.5281508,324,249,4,9,"
"
1744157451.5608864,324,248,4,8,"
"
1744157451.5961869,324,249,4,9,"
"
1744157451.6291213,324,251,4,11,"
"
1744157451.6603765,324,249,4,9,"
"
1744157451.6976156,324,250,4,10,"
"
1744157451.7293515,324,249,4,9,"
"
1744157451.7608535,324,250,4,10,"
"
1744157451.7961633,324,250,4,10,"
"
1744157451.830118,324,250,4,10,"
"
1744157451.860244,324,249,4,9,"
"
1744157451.8969033,325,249,5,9,"
"
1744157451.929111,328,250,8,10,"
"
1744157451.9609606,328,250,8,10,"
"
1744157451.9971142,328,250,8,10,"
"
1744157452.028908,327,251,7,11,"
"
1744157452.060265,325,250,5,10,"
"
1744157452.0974846,324,249,4,9,"
"
1744157452.1287272,323,249,3,9,"
"
1744157452.1616516,327,250,7,10,"
"
1744157452.1962626,325,250,5,10,"
"
1744157452.228972,327,250,7,10,"
"
1744157452.260362,325,249,5,9,"
"
1744157452.296944,326,250,6,10,"
"
1744157452.3290899,326,250,6,10,"
"
1744157452.3609746,327,250,7,10,"
"
1744157452.3963356,327,251,7,11,"
"
1744157452.4289513,325,249,5,9,"
"
1744157452.4603174,327,250,7,10,"
"
1744157452.4970658,326,251,6,11,"
"
1744157452.5283132,327,250,7,10,"
"
1744157452.5610151,326,250,6,10,"
"
1744157452.5968263,326,251,6,11,"
"
1744157452.629381,326,248,6,8,"
"
1744157452.6611392,327,250,7,10,"
"
1744157452.6973255,327,249,7,9,"
"
1744157452.7292097,327,249,7,9,"
"
1744157452.762277,326,250,6,10,"
"
1744157452.7965913,326,248,6,8,"
"
1744157452.8290067,326,249,6,9,"
"
